,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
A,#652F0D,#722C0F,#7D2913,#8A2717,#9E291B,#AA291D,#BA2C21,#D23124,#F03225,#FC3022,#FD3221,#FD3223,#FD312B,#FF3139,#FD3044,#F82F51,#F42E64,#F22975,#E72881,#E32D8D,#D43D91,#C74091,#BC4597,#B14594,#A74697,#984696,#904A97,#874997,#80499A,#764A9B,A
,brown,chestnut,peanut,old brick,tobasco,roof terracotta,rusty red,punch,ruby red,orange red,vermillion,deep carmine pink,strawberry,lightish red,pinky red,red pink,reddish pink,darkish pink,strong pink,barbie pink,dark pink,ugly purple,medium purple,purpleish,purplish,light eggplant,light plum,muted purple,dusty purple,dark lavender,
B,#8D4D1C,#9B4B1D,#A4461E,#B74822,#C44323,#D33C26,#E23925,#F43423,#FC3521,#FD3B28,#FF3D30,#FD3B3A,#FD3541,#FE364A,#FC345D,#FD316F,#FD2B7B,#F92A8E,#E74092,#D74C95,#C85097,#BB4D96,#B04C95,#A54C95,#9D4B97,#934A96,#854A97,#80499A,#764897,#6A4596,B
,milk chocolate,burnt umber,sienna,burnt sienna,brick orange,reddish,cinnabar,pomegranate red,reddish orange,light red,watermelon,coral,grapefruit,pinkish red,coral pink,warm pink,electric pink,hot pink,medium pink,cranberry,pale magenta,purpley pink,tapestry,warm purple,dark lilac,dull purple,dusky purple,deep lavender,bruise,twilight,
C,#AA6424,#B45E22,#C36023,#CB5724,#D85324,#E24D24,#ED4823,#F94220,#FD482B,#FE4E3D,#FE514B,#FD4E4F,#FD4E5B,#FD4765,#FD4777,#FD4385,#F84895,#E6579A,#D45B99,#C35B9E,#BC589A,#AD5599,#A45299,#99509A,#904E9B,#884A9A,#7C4896,#754795,#6B4397,#5D3993,C
,copper,raw umber,brownish orange,terra cotta,rusty orange,deep orange,pomegranate,tomato red,bright orange,pinkish orange,orange pink,pastel red,pale red,faded red,rosy pink,carnation,bubble gum pink,deep blush,muted pink,mulberry,mauve,faded purple,soft purple,trendy pink,purple bruise,affair,greyish purple,purple,blueberry,dusk,
D,#D28426,#DF8424,#E57C22,#F37E20,#F17221,#F86820,#FD6B25,#FE6330,#FF5E3A,#FD654F,#FD6C62,#FB6C69,#FD686F,#FD677E,#FA628C,#FA639C,#E8669D,#D867A1,#C56BA4,#BD65A2,#AA60A1,#A35A9F,#9A589E,#90559D,#864F9C,#7E4C99,#71479A,#684097,#5B3D93,#49368C,D
,dull orange,dusty orange,zest,tango,orange,ecstasy,molten pumpkin,outrageous orange,dark coral,persimmon,salmon pink,dark peach,blush pink,rose pink,carnation pink,bubblegum,dull pink,dusky pink,old pink,ugly pink,amethyst,deep lilac,purpley grey,heather,iris,dirty purple,bluey purple,royal purple,denim purple,gigas,
E,#EE9A1E,#F89918,#FF9517,#FF9018,#FF8A21,#FF8029,#FE8139,#FE7840,#FE7B50,#FC8263,#FC8272,#FC847F,#FD8487,#FA7F94,#FB7AA5,#F07FA8,#D97EAC,#CD7DAD,#C07CAE,#B272A9,#A369A7,#9963A6,#8F5EA2,#875AA2,#7D529E,#704E9A,#66479C,#5A3B92,#4A3694,#323286,E
,squash,tangerine,west side orange,mango,saffron,faded orange,pastel orange,light orange,pale orange,peachy pink,salmon,rosa,pinky,pig pink,pink,faded pink,dusty pink,orchid,dusty lavender,wisteria,warm grey,steel,medium grey,light indigo,fogbound iris,blue magenta,butterfly bush,denim,indigo blue,cobalt,
F,#FFB20D,#FFAF1C,#FFAA25,#FFAC34,#FFA83B,#FFA747,#FF9B52,#FF9559,#FE9060,#FE926F,#FC9781,#FC9990,#FC9896,#FC979F,#FA93B3,#E698BE,#D596BE,#CA95BC,#BC8ABA,#AE82B5,#9F7AB2,#936FAE,#8866A9,#7E61A7,#7459A3,#66519E,#5A499A,#4C3B93,#37368F,#292D7A,F
,amber,orange yellow,macaroni cheese,butterscotch,golden yellow,apricot,peach,sand brown,atomic tangerine,light salmon,pale salmon,very light brown,soft pink,bubblegum pink,powder pink,lavender pink,pinkish grey,light mauve,pale purple,grey pink,cool grey,light purple,bluish grey,grey blue,slate blue,cadet purple,metallic blue,dusk blue,sapphire,dark slate blue,
