,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
A,#FFC300,#FFC700,#FFCC00,#FFD100,#FFD600,#FFDD00,#FFE400,#FFEC00,#FFF600,#FDFF00,#F1FF00,#E3FF00,#D4FF00,#C3FF00,#AFFF00,#96FF00,#77FF00,#44FF00,#00FF42,#00FF6B,#00FF83,#00FF95,#00FFA3,#00FFAE,#00FFB8,#00FFC0,#00FFC7,#00FFCD,#00FFD3,#00FFD8,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,#FFBB00,#FCC23B,#F9C852,#F9CC52,#F9D151,#FAD650,#FADC4D,#FAE34D,#FAEB4F,#FAF452,#F6FB53,#E9FB52,#DAFB51,#CAFB50,#B7FB4E,#A0FB4D,#85FB52,#5FFA55,#5CFA78,#5CFA8F,#5BFAA0,#5AFBAD,#5AFBB7,#59FBC0,#59FBC7,#58FBCE,#58FBD3,#58FBD8,#3FFDDD,#00FFE1,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,#FFB200,#FBB93B,#F8C154,#F5C767,#F3CD75,#F4D174,#F4D572,#F5DB6F,#F6E26D,#F5E970,#F5F374,#EEF775,#E0F773,#D1F771,#BFF76F,#A9F86F,#92F775,#7FF682,#7FF699,#7EF6AA,#7DF6B6,#7CF6C0,#7CF6C7,#7BF6CE,#7AF7D4,#7AF7D9,#6CF9DD,#58FBE2,#3EFDE6,#00FFEB,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,#FFA700,#FBB03A,#F7B854,#F4BF68,#F2C678,#EFCC86,#EED18F,#EFD58E,#F0DA8B,#F1E086,#F1E88A,#F1F28E,#E6F38D,#D8F38B,#C6F389,#B2F389,#9FF290,#98F1A2,#97F1B2,#96F2BE,#95F2C7,#95F2CE,#94F2D4,#93F2D9,#89F4DE,#7AF7E2,#6AF9E7,#57FBEC,#3DFDF1,#00FFF6,D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,#FF9C00,#FBA53A,#F7AE54,#F3B667,#F0BD78,#EEC486,#ECCA93,#EAD09E,#EAD5A5,#EBD9A2,#EDDE9D,#ECE69F,#EBEFA4,#DEEFA2,#CEEF9F,#BBEFA0,#ADEDAA,#ABEDBB,#AAEDC6,#A9EDCE,#A9EED5,#A8EEDA,#9FF0DE,#94F2E3,#87F5E7,#79F7EC,#6AF9F2,#57FBF7,#3EFDFC,#00FDFF,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,#FF8E00,#FA9939,#F6A353,#F2AB67,#EFB377,#ECBB86,#EAC293,#E8C89F,#E7CEA9,#E6D3B3,#E6D8B7,#E8DDB3,#E8E4B3,#E3EAB6,#D5EAB3,#C4EAB5,#BDE8C2,#BCE9CD,#BAE9D5,#B9E9DA,#B3EBDF,#A8EEE3,#9EF0E8,#93F2ED,#87F5F3,#79F5F6,#6CF3F8,#5AF2FA,#41F1FC,#00F1FF,F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,#FF7E00,#FA8B38,#F59551,#F19F65,#EDA876,#EAB085,#E7B892,#E5BF9E,#E4C5A9,#E2CCB4,#E2D1BD,#E2D7C5,#E3DBC7,#E4E2C5,#DCE5C6,#CDE4C8,#CAE4D4,#C9E5DB,#C4E7DF,#BAE9E4,#B2ECE9,#A9ECEC,#A2EAEE,#98E9EF,#8DE8F1,#80E7F3,#70E6F6,#5DE6F9,#42E5FC,#00E4FF,G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,#FF6A00,#FA7936,#F4854F,#F09062,#EC9A73,#E8A382,#E5AC90,#E2B49C,#E0BBA7,#DEC2B2,#DDC8BC,#DDCFC5,#DED4CD,#DEDAD4,#E0DFD6,#D8E0DB,#D3E2E0,#CDE2E3,#C7E0E4,#C0DFE5,#B8DEE6,#AFDDE7,#A5DCE9,#9ADCEC,#8EDBEE,#81DAF1,#70DAF4,#5DD9F7,#42D9FB,#00D8FF,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
